ISEQ_ID,Date_ISEQ,Price_ISEQ,Open_ISEQ,High_ISEQ,Low_ISEQ,Vol_Mil_ISEQ,ChangePercent_ISEQ
184,"Dec 10, 2018",5409.17,5548.81,5548.81,5403.23,16.79,-2.52
185,"Dec 07, 2018",5548.81,5492.95,5615.59,5492.95,17.49,1.02
186,"Dec 06, 2018",5492.95,5669.09,5669.09,5491.94,25.05,-3.11
187,"Dec 05, 2018",5669.09,5701.71,5726.38,5641.29,22.2,-0.57
188,"Dec 04, 2018",5701.71,5847.62,5862.48,5701.71,23.69,-2.50
189,"Dec 03, 2018",5847.62,5818.65,5914.39,5818.65,20.91,0.50
190,"Nov 30, 2018",5818.65,5850.55,5861.74,5801.16,56.74,-0.55
191,"Nov 29, 2018",5850.55,5834.47,5903.78,5834.17,26.89,0.25
192,"Nov 28, 2018",5836.07,5872.79,5913.32,5822.75,26.41,-0.63
193,"Nov 27, 2018",5872.79,5926.42,5928.07,5835.83,22.26,-0.90
194,"Nov 26, 2018",5926.42,5928.21,5989.36,5914.57,18.45,-0.03
195,"Nov 23, 2018",5928.21,5858.01,5928.21,5858.01,11.6,1.20
196,"Nov 22, 2018",5858.01,5892.34,5892.34,5826.7,17.2,-0.58
197,"Nov 21, 2018",5892.34,5817.3,5900.65,5816.95,33.81,1.29
198,"Nov 20, 2018",5817.3,5900.09,5908.28,5772.58,32.55,-1.40
199,"Nov 19, 2018",5900.09,5983.45,6000.6,5898.59,21.09,-1.39
200,"Nov 16, 2018",5983.45,5957.17,6045.31,5931.59,34.27,0.44
201,"Nov 15, 2018",5957.17,6194.33,6201.17,5955.95,24.77,-3.83
202,"Nov 14, 2018",6194.44,6138.05,6239.02,6083.8,18.91,0.92
203,"Nov 13, 2018",6138.05,6126.62,6185.79,6090.16,15.16,0.19
204,"Nov 12, 2018",6126.62,6172.13,6218.15,6120.12,20.76,-0.74
205,"Nov 09, 2018",6172.13,6202.6,6202.6,6142.24,18,-0.49
